"text_description","kbli_code","kbli_label","kbji_code","kbji_label"
"karyawan panen kelapa sawit di kebun pt sampoerna agro.buah kelapa sawit.perkebunan kelapa sawit pt sampoerna agro.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6113","PEKERJA PERTANIAN TANAMAN KEBUN BIBIT DAN TANAMAN TAMAN"
"karyawan perawatan (memupuk, nyemprot, menebas) di perkebunan kelapa sawit milik pt sampoerna agro.buah kelapa sawit.perkebunan kelapa sawit pt sampoerna agro.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6113","PEKERJA PERTANIAN TANAMAN KEBUN BIBIT DAN TANAMAN TAMAN"
"ketua koperasi kelompok tani mitra terpadu iv.pengelolaan kebun plasma kelompok tani mitra terpadu iv.koperasi/ mitra perkebunan kelapa sawit pt sampoerna agro dengan kelompok tani/masyarakat.","01262","PERKEBUNAN BUAH KELAPA SAWIT","1211","MANAJER KEUANGAN"
"merawat, membersihkan, memupuk kebun sawit milik orang.buah kelapa sawit.pekerja di perkebunan kelapa sawit milik orang.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"pemilik dan penjual hasil kebun kelapa sawit.buah kelapa sawit.perkebunan kelapa sawit milik pribadi.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"membantu suami mengurus kebun kepa sawit milik pribadi.buah kelapa sawit.perkebunan kelapa sawit milik pribadi.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"pemilik dan penjual kebutuhan rumah tangga di toko kelontong/sembako.beras, minyak goreng, sabun, sampo, dll.pedagang grosir dan ecer.","47599","PERDAGANGAN ECERAN PERALATAN DAN PERLENGKAPAN RUMAH TANGGA LAINNYA YTDL","5211","PEDAGANG DI KIOS DAN LOS PASAR"
"pemilik toko kelontong dan sembako.beras, minyak goreng, keperluan dapur, keperluan mandi, dll.pedagang ecer.","47112","PERDAGANGAN ECERAN BERBAGAI MACAM BARANG YANG UTAMANYA MAKANAN, MINUMAN ATAU TEMBAKAU BUKAN DI MINIMARKET/SUPERMARKET/HYPERMARKET (TRADISIONAL)","5211","PEDAGANG DI KIOS DAN LOS PASAR"
"mandor karyawan perawatan kebun kelapa sawit di pt sampoerna agro.buah kelapa sawit.perkebunan kelapa sawit pt sampoerna agro.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6113","PEKERJA PERTANIAN TANAMAN KEBUN BIBIT DAN TANAMAN TAMAN"
"karyawan perawatan (memupuk, menebas, membersihkan) kebun kelapa sawit milik pt sampoerna agro.buah kelapa sawit.perkebunan kelapa sawit pt sampoerna agro.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"menebas/ membersihkan kebun milik orang.jasa tenaga kasar.perkebunan milik orang.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6113","PEKERJA PERTANIAN TANAMAN KEBUN BIBIT DAN TANAMAN TAMAN"
